,Index,year,biomass
139,17,2013,132.1486206
140,17,2014,205.1426392
141,17,2015,130.5792084
142,17,2016,128.6074066
143,17,2017,153.9760895
144,18,2010,140.0259857
145,18,2011,143.6766205
146,18,2012,105.671814
147,18,2013,105.9449081
148,18,2014,175.587204
149,18,2015,114.8936386
150,18,2016,119.6863556
151,18,2017,167.4338837
152,19,2010,51.76260757
153,19,2011,91.46440125
154,19,2012,90.00948334
155,19,2013,58.49711609
156,19,2014,83.19333649
157,19,2015,64.63090515
158,19,2016,60.41845703
159,19,2017,89.41933441
160,20,2010,61.17729568
161,20,2011,133.0115051
162,20,2012,81.56877899
163,20,2013,79.95115662
164,20,2014,116.4289169
165,20,2015,78.07914734
166,20,2016,82.89323425
167,20,2017,127.0603485
168,21,2010,84.54468536
169,21,2011,124.8478928
170,21,2012,101.5861816
171,21,2013,89.92281342
172,21,2014,140.8546295
173,21,2015,96.98707581
174,21,2016,90.87753296
175,21,2017,126.2838364
176,22,2010,99.1736145
177,22,2011,159.4914398
178,22,2012,106.4774933
179,22,2013,91.88571167
180,22,2014,130.869339
181,22,2015,106.9669266
182,22,2016,116.8996277
183,22,2017,101.8238525
184,23,2010,150.2328644
185,23,2011,181.6248169
186,23,2012,151.1966553
187,23,2013,113.5439758
188,23,2014,160.2637329
189,23,2015,107.7620239
190,23,2016,109.9925232
191,23,2017,111.148941
192,24,2010,144.6105194
193,24,2011,175.1475525
194,24,2012,146.9933624
195,24,2013,116.3193054
196,24,2014,180.7384644
197,24,2015,121.2385254
198,24,2016,87.78025055
199,24,2017,111.8161621
200,25,2010,45.69966888
201,25,2011,68.10134888
202,25,2012,68.45948792
203,25,2013,46.83990097
204,25,2014,58.86828613
205,25,2015,57.55020905
206,25,2016,77.210495
207,25,2017,86.27101898
208,26,2010,24.97690392
209,26,2011,55.40797806
210,26,2012,63.78116608
211,26,2013,37.2959404
212,26,2014,47.14842224
213,26,2015,37.48082733
214,26,2016,42.75498581
215,26,2017,44.64852142
216,27,2010,19.92323303
217,27,2011,43.96218491
218,27,2012,30.96070862
219,27,2013,28.95754051
220,27,2014,42.31676865
221,27,2015,34.80891418
222,27,2016,27.09572029
223,27,2017,41.31939697
224,28,2010,6.596181393
225,28,2011,9.022956848
226,28,2012,3.97533679
227,28,2013,4.651710987
228,28,2014,5.451403141
229,28,2015,4.558710575
230,28,2016,3.248904228
231,28,2017,4.003596783
232,29,2010,0.14898251
233,29,2011,0.44225198
234,29,2012,0.175578073
235,29,2013,0.224422753
236,29,2014,0.201871529
237,29,2015,0.198033258
238,29,2016,0.316811502
239,29,2017,0.241195455
240,30,2010,33.44884491
241,30,2011,35.71368027
242,30,2012,32.15140533
243,30,2013,26.31920052
244,30,2014,40.71194458
245,30,2015,27.70918274
246,30,2016,25.035532
247,30,2017,29.89868927
248,31,2010,65.62121582
249,31,2011,122.1017151
250,31,2012,129.0817566
251,31,2013,68.21733856
252,31,2014,98.81609344
253,31,2015,84.30096436
254,31,2016,87.5641098
255,31,2017,100.9010086
256,32,2010,121.0332336
257,32,2011,177.7386169
258,32,2012,170.0796509
259,32,2013,111.8134308
260,32,2014,164.9772644
261,32,2015,118.1409836
262,32,2016,150.813324
263,32,2017,134.183136
264,33,2010,117.2946014
265,33,2011,127.3538666
266,33,2012,130.9736633
267,33,2013,104.6450043
268,33,2014,144.2930603
269,33,2015,108.879837
270,33,2016,132.3540192
271,33,2017,163.1720581
272,34,2010,121.5485306
273,34,2011,161.664505
274,34,2012,166.5551605
275,34,2013,101.8936081
276,34,2014,143.0532074
277,34,2015,87.45465851
278,34,2016,117.1153717
279,34,2017,134.410141
280,35,2010,102.3113708
281,35,2011,169.7710419
282,35,2012,160.1176453
283,35,2013,89.57714844
284,35,2014,140.0508575
285,35,2015,92.18669891
286,35,2016,98.37117767
287,35,2017,112.1739349
288,36,2010,136.3761597
289,36,2011,153.3920288
290,36,2012,148.2762909
291,36,2013,142.3541718
292,36,2014,203.7337341
293,36,2015,169.9274139
294,36,2016,166.2753143
295,36,2017,155.4946289
296,37,2010,141.9011383
297,37,2011,184.5349426
298,37,2012,135.4009399
299,37,2013,137.3055115
300,37,2014,186.3474884
301,37,2015,123.8763123
302,37,2016,131.4788666
303,37,2017,174.4985199
304,38,2010,77.37073517
305,38,2011,107.5505753
306,38,2012,83.13499451
307,38,2013,83.85520935
308,38,2014,105.5417175
309,38,2015,76.52786255
310,38,2016,102.0719376
311,38,2017,112.5465164
312,39,2010,54.08869171
313,39,2011,91.42770386
314,39,2012,61.92598343
315,39,2013,56.50045776
316,39,2014,72.70835114
317,39,2015,61.64720535
318,39,2016,68.13217163
319,39,2017,78.11170197
320,40,2010,44.4982605
321,40,2011,56.36858368
322,40,2012,46.19569778
323,40,2013,50.21803665
324,40,2014,59.50357437
325,40,2015,59.08083725
326,40,2016,87.15248108
327,40,2017,86.62328339
328,41,2010,53.13540268
329,41,2011,91.97341156
330,41,2012,91.34283447
331,41,2013,64.26483154
332,41,2014,76.46427155
333,41,2015,66.40801239
334,41,2016,98.95579529
335,41,2017,92.12915039
336,42,2010,75.98052216
337,42,2011,136.4320679
338,42,2012,104.890274
339,42,2013,69.30420685
340,42,2014,101.3290024
341,42,2015,79.23304749
342,42,2016,89.4603653
343,42,2017,109.4937744
344,43,2010,30.84760094
345,43,2011,52.83142471
346,43,2012,24.82987785
347,43,2013,25.38798332
348,43,2014,30.5744915
349,43,2015,22.68786812
350,43,2016,18.38335991
351,43,2017,30.97206688
352,44,2010,1.716194034
353,44,2011,2.047751188
354,44,2012,1.921450496
355,44,2013,1.577547193
356,44,2014,2.04826355
357,44,2015,1.503944874
358,44,2016,1.929136515
359,44,2017,4.792346954
360,45,2010,0.40073213
361,45,2011,0.065354608
362,45,2012,0.041595265
363,45,2013,0.592068553
364,45,2014,0.059261009
365,45,2015,0.102406286
366,45,2016,0.109720692
367,45,2017,0.709676743
368,46,2010,1.185710669
369,46,2011,0.290858418
370,46,2012,0.163014114
371,46,2013,1.161735535
372,46,2014,0.208936796
373,46,2015,0.528838873
374,46,2016,0.536449432
375,46,2017,0.413164586
376,47,2010,9.411384583
377,47,2011,24.29284286
378,47,2012,35.66773224
379,47,2013,13.53325558
380,47,2014,14.8900156
381,47,2015,16.25581741
382,47,2016,21.13311577
383,47,2017,14.09113312
384,48,2010,53.4867363
385,48,2011,117.7023849
386,48,2012,151.5562897
387,48,2013,73.11811829
388,48,2014,72.21617126
389,48,2015,66.25110626
390,48,2016,79.66234589
391,48,2017,98.30970764
392,49,2010,67.84522247
393,49,2011,120.0843353
394,49,2012,113.4001923
395,49,2013,87.97529602
396,49,2014,103.7483292
397,49,2015,82.30545807
398,49,2016,121.5448074
399,49,2017,127.0145798
400,50,2010,92.29341125
401,50,2011,144.7829895
402,50,2012,103.2253647
403,50,2013,83.80776215
404,50,2014,119.4124603
405,50,2015,83.73886108
406,50,2016,106.9424896
407,50,2017,129.7623901
408,51,2010,107.6716156
409,51,2011,157.2505341
410,51,2012,151.2206421
411,51,2013,92.19435883
412,51,2014,147.3453827
413,51,2015,95.59819031
414,51,2016,78.92514801
415,51,2017,103.8457642
416,52,2010,83.22322083
417,52,2011,150.5225983
418,52,2012,162.6320648
419,52,2013,84.5362854
420,52,2014,122.6788254
421,52,2015,105.8757401
422,52,2016,104.6953964
423,52,2017,107.3855286
424,53,2010,99.09132385
425,53,2011,142.2197571
426,53,2012,171.1517944
427,53,2013,116.4433823
428,53,2014,177.9291992
429,53,2015,138.4720612
430,53,2016,134.6973419
431,53,2017,169.7783661
432,54,2010,127.3641663
433,54,2011,202.5718842
434,54,2012,162.4058533
435,54,2013,114.9309692
436,54,2014,180.7794189
437,54,2015,119.6972504
438,54,2016,116.9567261
439,54,2017,157.299408
440,55,2010,134.515976
441,55,2011,147.6309814
442,55,2012,111.7145538
443,55,2013,112.1261444
444,55,2014,166.823822
445,55,2015,127.7519913
446,55,2016,122.0452118
447,55,2017,118.2251968
448,56,2010,134.364975
449,56,2011,151.4025726
450,56,2012,153.2795258
451,56,2013,117.8823395
452,56,2014,169.5634308
453,56,2015,126.5506363
454,56,2016,171.2545319
455,56,2017,158.2336884
456,57,2010,73.74102783
457,57,2011,127.8181458
458,57,2012,132.7875366
459,57,2013,79.09367371
460,57,2014,98.46846008
461,57,2015,84.92284393
462,57,2016,134.3496246
463,57,2017,125.4573593
464,58,2010,90.24049377
465,58,2011,130.0566101
466,58,2012,105.9844208
467,58,2013,80.94841003
468,58,2014,124.8952484
469,58,2015,101.5774689
470,58,2016,105.8578873
471,58,2017,103.5982666
472,59,2010,60.56772232
473,59,2011,71.13933563
474,59,2012,70.91751862
475,59,2013,49.94307327
476,59,2014,80.30313873
477,59,2015,62.77414322
478,59,2016,89.86942291
479,59,2017,86.81983948
480,60,2010,57.37684631
481,60,2011,80.09165955
482,60,2012,66.688797
483,60,2013,49.99824905
484,60,2014,85.70508575
485,60,2015,61.82358551
486,60,2016,68.56171417
487,60,2017,82.80084991
488,61,2010,11.39565468
489,61,2011,11.05320549
490,61,2012,11.50044918
491,61,2013,10.9434576
492,61,2014,18.05771255
493,61,2015,17.90370178
494,61,2016,20.19329834
495,61,2017,15.02862358
496,62,2010,4.738157749
497,62,2011,13.58475876
498,62,2012,5.365433693
499,62,2013,4.897316933
500,62,2014,5.494883537
501,62,2015,4.158436298
502,62,2016,9.653676033
503,62,2017,11.84801197
504,63,2010,30.51318932
505,63,2011,24.93689728
506,63,2012,16.44616127
507,63,2013,22.35824394
508,63,2014,32.88882446
509,63,2015,13.4871397
510,63,2016,17.03986931
511,63,2017,27.44405746
512,64,2010,13.23116207
513,64,2011,12.37281322
514,64,2012,8.35128212
515,64,2013,13.30931377
516,64,2014,11.64479828
517,64,2015,6.786065578
518,64,2016,7.286772728
519,64,2017,10.78946877
520,65,2010,2.702456951
521,65,2011,2.51724267
522,65,2012,2.162627697
523,65,2013,2.643449783
524,65,2014,2.354780912
525,65,2015,5.998182774
526,65,2016,5.554096222
527,65,2017,7.666985989
528,66,2010,6.119395733
529,66,2011,5.490049839
530,66,2012,4.758146286
531,66,2013,5.326426506
532,66,2014,5.659874439
533,66,2015,7.116559029
534,66,2016,6.31090641
535,66,2017,8.807272911
536,67,2010,0.386530042
537,67,2011,0.374552101
538,67,2012,0.382144392
539,67,2013,0.341405749
540,67,2014,0.429923296
541,67,2015,0.409600526
542,67,2016,0.384940833
543,67,2017,0.482097477
544,68,2010,0.134468749
545,68,2011,0.098080575
546,68,2012,0.045156892
547,68,2013,0.267338514
548,68,2014,0.046126105
549,68,2015,0.210775658
550,68,2016,0.202268958
551,68,2017,0.015550368
552,69,2010,4.911758423
553,69,2011,7.292259693
554,69,2012,7.420654774
555,69,2013,5.711229801
556,69,2014,6.373944283
557,69,2015,7.979341507
558,69,2016,10.07473373
559,69,2017,5.716173172
560,70,2010,92.46127319
561,70,2011,105.1769257
562,70,2012,93.65325165
563,70,2013,77.46888733
564,70,2014,115.1833115
565,70,2015,96.92246246
566,70,2016,107.5643158
567,70,2017,107.6742859
568,71,2010,93.44713593
569,71,2011,123.6649933
570,71,2012,111.2172928
571,71,2013,84.48323059
572,71,2014,110.473671
573,71,2015,87.33312988
574,71,2016,137.4429321
575,71,2017,138.6842041
576,72,2010,84.33163452
577,72,2011,139.6041718
578,72,2012,129.4471436
579,72,2013,79.21154785
580,72,2014,102.0462418
581,72,2015,83.87095642
582,72,2016,111.0048981
583,72,2017,141.0565948
584,73,2010,92.72156525
585,73,2011,196.2896881
586,73,2012,183.1881714
587,73,2013,98.64025116
588,73,2014,134.0859222
589,73,2015,106.6130524
590,73,2016,82.23817444
591,73,2017,113.957489
592,74,2010,116.8768768
593,74,2011,174.1825714
594,74,2012,191.7445831
595,74,2013,120.1810532
596,74,2014,199.7206573
597,74,2015,138.8439636
598,74,2016,146.8779297
599,74,2017,156.1511841
600,75,2010,161.7230072
601,75,2011,215.266922
602,75,2012,206.8876801
603,75,2013,139.7307739
604,75,2014,249.2931213
605,75,2015,165.1207123
606,75,2016,175.9665833
607,75,2017,194.9480438
608,76,2010,156.6812439
609,76,2011,179.7835236
610,76,2012,166.6686401
611,76,2013,116.3335648
612,76,2014,186.4660797
613,76,2015,120.2639618
614,76,2016,105.6868515
615,76,2017,130.4949036
616,77,2010,104.4928513
617,77,2011,101.8490372
618,77,2012,95.13104248
619,77,2013,86.54677582
620,77,2014,132.5445862
621,77,2015,92.7651825
622,77,2016,105.946846
623,77,2017,113.7386398
624,78,2010,156.5196533
625,78,2011,167.6985931
626,78,2012,176.7041168
627,78,2013,134.7086029
628,78,2014,208.4102325
629,78,2015,149.1799622
630,78,2016,184.9528809
631,78,2017,195.5219574
632,79,2010,125.321701
633,79,2011,183.729187
634,79,2012,174.5625
635,79,2013,132.3222809
636,79,2014,157.7567749
637,79,2015,127.7015457
638,79,2016,190.0127106
639,79,2017,196.9147797
640,80,2010,97.76548004
641,80,2011,112.9788132
642,80,2012,95.01976013
643,80,2013,83.68985748
644,80,2014,125.4117661
645,80,2015,91.79203796
646,80,2016,104.5958786
647,80,2017,125.0444336
648,81,2010,26.56175041
649,81,2011,42.23124695
650,81,2012,36.45499039
651,81,2013,25.28469276
652,81,2014,39.73748398
653,81,2015,35.210392
654,81,2016,32.40374374
655,81,2017,40.5798645
656,82,2010,29.05064201
657,82,2011,52.92518997
658,82,2012,48.45821381
659,82,2013,26.64902878
660,82,2014,53.5811348
661,82,2015,41.99397278
662,82,2016,44.45841599
663,82,2017,56.74629593
664,83,2010,26.89700508
665,83,2011,40.1569519
666,83,2012,37.93455887
667,83,2013,21.82702637
668,83,2014,39.90808868
669,83,2015,26.26771736
670,83,2016,24.62424278
671,83,2017,26.85098839
672,84,2010,42.6721077
673,84,2011,88.76748657
674,84,2012,91.65637207
675,84,2013,47.75086212
676,84,2014,66.42662811
677,84,2015,49.20088577
678,84,2016,81.50495148
679,84,2017,94.62962341
680,85,2010,30.7830658
681,85,2011,29.40364456
682,85,2012,27.65350533
683,85,2013,24.41407394
684,85,2014,34.22935104
685,85,2015,18.50027275
686,85,2016,36.60828018
687,85,2017,46.91526413
688,86,2010,8.128576279
689,86,2011,7.71605444
690,86,2012,6.469609737
691,86,2013,6.062915325
692,86,2014,8.949343681
693,86,2015,6.22582674
694,86,2016,4.748322487
695,86,2017,6.853166103
696,87,2010,6.069386959
697,87,2011,7.609459877
698,87,2012,5.953918457
699,87,2013,6.397179127
700,87,2014,5.630738735
701,87,2015,15.96503353
702,87,2016,15.40928078
703,87,2017,20.91970634
704,88,2010,40.56517792
705,88,2011,39.57115936
706,88,2012,34.73072433
707,88,2013,29.17051888
708,88,2014,40.89677429
709,88,2015,44.52288437
710,88,2016,40.54199219
711,88,2017,54.29769897
712,89,2010,8.164513588
713,89,2011,7.850216866
714,89,2012,7.618523598
715,89,2013,6.450620174
716,89,2014,8.751590729
717,89,2015,8.500757217
718,89,2016,7.925868988
719,89,2017,10.19478226
720,90,2010,0.111496143
721,90,2011,0.108491041
722,90,2012,0.122955076
723,90,2013,0.121985063
724,90,2014,0.132167965
725,90,2015,0.122253537
726,90,2016,0.119215943
727,90,2017,0.135203227
728,91,2010,0.713384688
729,91,2011,0.601225495
730,91,2012,0.591967762
731,91,2013,0.938104451
732,91,2014,0.973053575
733,91,2015,1.584247351
734,91,2016,2.279833794
735,91,2017,0.626044393
736,92,2010,33.02660751
737,92,2011,27.67250824
738,92,2012,27.18237877
739,92,2013,34.75081635
740,92,2014,45.98116302
741,92,2015,49.39732361
742,92,2016,67.28372192
743,92,2017,46.32011795
744,93,2010,131.5767822
745,93,2011,123.1771545
746,93,2012,120.7050476
747,93,2013,110.5631714
748,93,2014,175.4810028
749,93,2015,142.9302673
750,93,2016,145.1119995
751,93,2017,152.3161774
752,94,2010,107.4426956
753,94,2011,112.8004532
754,94,2012,102.9759216
755,94,2013,94.07792664
756,94,2014,139.811615
757,94,2015,109.446579
758,94,2016,130.7917175
759,94,2017,139.0729065
760,95,2010,66.1418457
761,95,2011,94.07674408
762,95,2012,95.23552704
763,95,2013,61.84368515
764,95,2014,97.59500122
765,95,2015,71.24417877
766,95,2016,81.56676483
767,95,2017,105.926712
768,96,2010,91.01392365
769,96,2011,194.977951
770,96,2012,178.6150513
771,96,2013,101.538414
772,96,2014,134.967926
773,96,2015,108.897171
774,96,2016,134.9612427
775,96,2017,145.2462921
776,97,2010,110.8129807
777,97,2011,164.7277069
778,97,2012,157.3167419
779,97,2013,115.1308517
780,97,2014,183.6796875
781,97,2015,137.2090302
782,97,2016,146.020462
783,97,2017,183.8696899
784,98,2010,112.7805557
785,98,2011,127.252861
786,98,2012,139.5270996
787,98,2013,92.75467682
788,98,2014,151.7894592
789,98,2015,104.9245529
790,98,2016,119.6346588
791,98,2017,144.9039764
792,99,2010,121.9540329
793,99,2011,126.9577255
794,99,2012,122.6213608
795,99,2013,94.64478302
796,99,2014,148.229187
797,99,2015,110.4136658
798,99,2016,128.3256989
799,99,2017,136.7478638
800,100,2010,128.8188629
801,100,2011,149.5000458
802,100,2012,139.1442566
803,100,2013,93.88853455
804,100,2014,158.3120422
805,100,2015,116.8316879
806,100,2016,105.806015
807,100,2017,116.9093552
808,101,2010,133.9694977
809,101,2011,204.7648468
810,101,2012,201.4073486
811,101,2013,135.1744232
812,101,2014,201.9656982
813,101,2015,180.0136261
814,101,2016,205.4166565
815,101,2017,180.9903107
816,102,2010,117.6083984
817,102,2011,155.5405579
818,102,2012,147.779129
819,102,2013,112.5252304
820,102,2014,165.7159576
821,102,2015,136.7687988
822,102,2016,152.3192291
823,102,2017,167.2925262
824,103,2010,100.5573578
825,103,2011,115.3336639
826,103,2012,132.9010773
827,103,2013,83.85360718
828,103,2014,121.5186615
829,103,2015,94.67688751
830,103,2016,111.9432449
831,103,2017,129.1743469
832,104,2010,91.23011017
833,104,2011,170.024765
834,104,2012,193.1950989
835,104,2013,100.0599365
836,104,2014,130.0299683
837,104,2015,113.2674332
838,104,2016,120.0983582
839,104,2017,130.3553925
840,105,2010,108.0983429
841,105,2011,175.9430389
842,105,2012,194.1021118
843,105,2013,114.5741806
844,105,2014,157.2995148
845,105,2015,136.6082001
846,105,2016,135.9729614
847,105,2017,157.3833618
848,106,2010,119.033165
849,106,2011,133.3392487
850,106,2012,166.2667847
851,106,2013,94.14122009
852,106,2014,134.6774139
853,106,2015,101.6419754
854,106,2016,120.925354
855,106,2017,122.8026886
856,107,2010,83.11767578
857,107,2011,67.69569397
858,107,2012,67.06076813
859,107,2013,61.71843719
860,107,2014,94.15476227
861,107,2015,64.53668213
862,107,2016,76.86956787
863,107,2017,82.78088379
864,108,2010,5.906249046
865,108,2011,5.7738657
866,108,2012,5.144875526
867,108,2013,4.708918571
868,108,2014,7.643323898
869,108,2015,6.754850864
870,108,2016,7.838918209
871,108,2017,7.137349129
872,109,2010,24.74891472
873,109,2011,14.15715313
874,109,2012,9.91640377
875,109,2013,11.20400333
876,109,2014,23.69096184
877,109,2015,17.88263893
878,109,2016,4.428684711
879,109,2017,4.934292316
880,110,2010,2.792935848
881,110,2011,21.05884171
882,110,2012,2.05422473
883,110,2013,4.053825378
884,110,2014,5.654908657
885,110,2015,4.609174252
886,110,2016,2.739300489
887,110,2017,3.229728699
888,111,2010,4.96349144
889,111,2011,4.260165691
890,111,2012,4.557436466
891,111,2013,4.801496029
892,111,2014,5.927659035
893,111,2015,3.858591557
894,111,2016,4.157647133
895,111,2017,15.79227734
896,112,2010,1.711058736
897,112,2011,15.7094698
898,112,2012,13.84945488
899,112,2013,4.00783968
900,112,2014,4.241393089
901,112,2015,3.430053711
902,112,2016,3.161423683
903,112,2017,6.577589035
904,113,2010,18.04955673
905,113,2011,43.79933929
906,113,2012,23.27570724
907,113,2013,16.08563042
908,113,2014,19.71180153
909,113,2015,20.67221069
910,113,2016,16.89801979
911,113,2017,23.77198601
912,114,2010,16.32641792
913,114,2011,27.1162529
914,114,2012,13.23817062
915,114,2013,12.4494915
916,114,2014,15.7912302
917,114,2015,17.77651024
918,114,2016,14.68091011
919,114,2017,19.56223297
920,115,2010,1.258674383
921,115,2011,1.1789217
922,115,2012,1.125622272
923,115,2013,0.95429337
924,115,2014,1.292408347
925,115,2015,1.291556001
926,115,2016,1.246860504
927,115,2017,1.504247665
928,116,2010,0.022565609
929,116,2011,0.021957409
930,116,2012,0.024884773
931,116,2013,0.024688452
932,116,2014,0.026749361
933,116,2015,0.02474279
934,116,2016,0.024128012
935,116,2017,0.027363665
936,117,2010,0.179722741
937,117,2011,0.30527845
938,117,2012,0.231304839
939,117,2013,0.187772781
940,117,2014,0.360107899
941,117,2015,0.361097246
942,117,2016,0.503151417
943,117,2017,0.349466383
944,118,2010,16.63981056
945,118,2011,18.98964691
946,118,2012,19.2206974
947,118,2013,17.1956749
948,118,2014,24.37080193
949,118,2015,19.24116325
950,118,2016,27.29929161
951,118,2017,35.21870804
952,119,2010,74.2911911
953,119,2011,105.337471
954,119,2012,110.3095779
955,119,2013,77.57389832
956,119,2014,118.5212555
957,119,2015,84.62638855
958,119,2016,86.87517548
959,119,2017,113.196434
960,120,2010,54.41710663
961,120,2011,111.1421509
962,120,2012,89.75623322
963,120,2013,65.83407593
964,120,2014,96.32026672
965,120,2015,71.40578461
966,120,2016,76.58735657
967,120,2017,89.16621399
968,121,2010,114.8388214
969,121,2011,124.5436172
970,121,2012,107.4382324
971,121,2013,88.03704071
972,121,2014,137.5355377
973,121,2015,101.6054306
974,121,2016,91.90005493
975,121,2017,108.809494
976,122,2010,148.4011536
977,122,2011,180.168457
978,122,2012,179.9610901
979,122,2013,122.9957199
980,122,2014,181.317215
981,122,2015,153.8673553
982,122,2016,191.9453583
983,122,2017,171.5373688
984,123,2010,98.70885468
985,123,2011,134.9765778
986,123,2012,125.2895279
987,123,2013,99.27937317
988,123,2014,133.5585327
989,123,2015,113.5824432
990,123,2016,148.6882935
991,123,2017,183.2661438
992,124,2010,124.6136627
993,124,2011,151.7163239
994,124,2012,146.0024719
995,124,2013,119.2017288
996,124,2014,161.8920135
997,124,2015,126.7525482
998,124,2016,162.8243713
999,124,2017,170.8679352
1000,125,2010,129.0076599
1001,125,2011,144.1429291
1002,125,2012,140.8255005
1003,125,2013,98.82266235
1004,125,2014,172.8634491
1005,125,2015,120.5480194
1006,125,2016,113.1793442
1007,125,2017,141.1546783
1008,126,2010,138.5014648
1009,126,2011,180.0266266
1010,126,2012,149.1068573
1011,126,2013,108.0164032
1012,126,2014,175.5168304
1013,126,2015,131.4198151
1014,126,2016,104.2264252
1015,126,2017,131.0609283
1016,127,2010,101.4038315
1017,127,2011,161.1230011
1018,127,2012,142.5470123
1019,127,2013,91.44887543
1020,127,2014,129.5114594
1021,127,2015,105.2286682
1022,127,2016,107.4253693
1023,127,2017,138.5220795
1024,128,2010,119.6268387
1025,128,2011,148.326828
1026,128,2012,127.2850876
1027,128,2013,98.91383362
1028,128,2014,163.3402863
1029,128,2015,126.280899
1030,128,2016,122.7035599
1031,128,2017,136.6256561
1032,129,2010,153.3703918
1033,129,2011,176.5397949
1034,129,2012,180.2420654
1035,129,2013,145.1348419
1036,129,2014,192.7607422
1037,129,2015,129.0245972
1038,129,2016,171.1621246
1039,129,2017,168.8720398
1040,130,2010,125.2544098
1041,130,2011,179.4670868
1042,130,2012,208.0571594
1043,130,2013,121.5135345
1044,130,2014,176.9276581
1045,130,2015,136.1640015
1046,130,2016,172.4556274
1047,130,2017,141.5595703
1048,131,2010,170.115921
1049,131,2011,194.2486115
1050,131,2012,190.5301514
1051,131,2013,121.9963074
1052,131,2014,191.7315369
1053,131,2015,129.5179443
1054,131,2016,121.1520462
1055,131,2017,115.7618637
1056,132,2010,138.4901581
1057,132,2011,129.5207214
1058,132,2012,148.2562256
1059,132,2013,102.2249603
1060,132,2014,155.7644958
1061,132,2015,111.6328278
1062,132,2016,116.3170166
1063,132,2017,123.6251831
1064,133,2010,155.2005005
1065,133,2011,111.8021393
1066,133,2012,143.2215576
1067,133,2013,103.5709381
1068,133,2014,172.3664703
1069,133,2015,112.5429382
1070,133,2016,137.3099365
1071,133,2017,126.1059418
1072,134,2010,35.46909332
